iter,loss,psnr,val_psnr
100,0.023322172462940216,16.32230997449787,
200,0.009566441178321838,20.192495945185627,
300,0.007370683364570141,21.324922451526668,
400,0.006245081312954426,22.044619026000912,
500,0.005357775837182999,22.710154607000014,22.96354547420659
600,0.004801083356142044,23.186607537687514,
700,0.004691784270107746,23.286619651105816,
800,0.004106543492525816,23.865235731863713,
900,0.004444466438144445,23.521803689746072,
1000,0.004036164842545986,23.940311048865233,24.242199007836543
1100,0.004282286390662193,23.683242913327774,
1200,0.0042099859565496445,23.757193528586708,
1300,0.004227326717227697,23.739341855739124,
1400,0.0038636717945337296,24.12999772493813,
1500,0.003653561696410179,24.37283554478814,24.748797163740225
1600,0.0032302774488925934,24.90760174465098,
1700,0.0038869641721248627,24.103894624354126,
1800,0.003352146130055189,24.74677057436359,
1900,0.0034961996134370565,24.564037795446726,
2000,0.003479491453617811,24.584842258886624,25.143872908291776
2100,0.0031945016235113144,24.955968868144126,
2200,0.0032282876782119274,24.9102777150475,
2300,0.003152069402858615,25.01404228699394,
2400,0.003205034648999572,24.941672710475107,
2500,0.003182766493409872,24.971952226242156,25.519935964557668
2600,0.0026681150775402784,25.737954429477913,
2700,0.003065227996557951,25.135372164263575,
2800,0.0025401031598448753,25.951486452534414,
2900,0.0030944969039410353,25.094099474846576,
3000,0.0026316966395825148,25.797641740810494,25.86418009949366
3100,0.0027285616379231215,25.64066231102924,
3200,0.002734242007136345,25.631630487614423,
3300,0.002714684931561351,25.662805677047707,
3400,0.002950118388980627,25.301605553271493,
3500,0.0026477191131561995,25.771280895029882,26.09148765090681
3600,0.0027455193921923637,25.613754844286916,
3700,0.0024865977466106415,26.04394464250273,
3800,0.0024318674113601446,26.140601070655695,
3900,0.0025524371303617954,25.930449463118507,
4000,0.002488058293238282,26.04139448685743,26.381174280395005
4100,0.0025742454454302788,25.89350046975511,
4200,0.0020566857419908047,26.868320626785135,
4300,0.0021410593762993813,26.6937128859458,
4400,0.0023224095348268747,26.340611941440898,
4500,0.0022757723927497864,26.428711752803604,26.556867901588806
4600,0.0020415859762579203,26.90032326136204,
4700,0.00201908010058105,26.94846451462353,
4800,0.002289986703544855,26.40167039316821,
4900,0.0022230413742363453,26.530524543341514,
5000,0.002160187577828765,26.65508535664378,26.63753730740091
